1 2 3 4 5 6 7 8
version_number compiler build MESA_SDK_version math_backend date burn_min1 burn_min2
"12778" "gfortran" "9.2.0" "x86_64-linux-20.3.2" "CRMATH" "20240321" 5.0000000000000000E+001 1.0000000000000000E+003

1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57
model_number star_age star_mass log_L log_R log_Teff log_center_T log_center_Rho log_center_P center_h1 center_he3 center_he4 center_c12 center_n14 center_o16 center_ne20 center_mg24 center_si28 center_s32 center_ar36 center_ca40 center_ti44 center_cr48 center_fe52 center_fe54 center_fe56 center_ni56 center_degeneracy center_ye center_entropy compactness_parameter dynamic_timescale kh_timescale nuc_timescale pp cno tri_alfa log_LH log_LHe log_LZ log_Lneu he_core_mass c_core_mass o_core_mass si_core_mass fe_core_mass he_core_radius c_core_radius o_core_radius si_core_radius fe_core_radius max_abs_v_velocity surf_avg_omega_div_omega_crit log_total_angular_momentum surf_avg_omega surf_avg_v_rot star_mdot
1 1.0000000000000001E-005 1.2999999999999934E+000 2.7584131833346843E+000 1.5784092393454927E+000 3.6620280943872383E+000 5.4770198108138546E+000 -3.5142463372996917E+000 1.0087314738471550E+001 6.9999999999999996E-001 2.9797635251138621E-005 2.7997020236474884E-001 4.1193902129486445E-003 1.2067031330276047E-003 1.1203876416666529E-002 2.5129237964844936E-003 9.5710644087274651E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -8.5584364564605053E+000 8.5000496627254141E-001 2.6338226059117051E+001 0.0000000000000000E+000 2.0472729787547120E+006 1.8266015461135805E+003 2.2674105810362641E+007 -2.0995971277123406E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.0995971277123406E+001 -9.8999999999999986E+001 -3.6424629475341725E+001 -2.2393839352849092E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -6.7173529161275891E-010
2 2.2000000000000003E-005 1.2999999999999852E+000 2.7557023674226166E+000 1.5783818201910402E+000 3.6613640999864470E+000 5.4770200657943082E+000 -3.5142457823400863E+000 1.0087315549543140E+001 6.9999999999999996E-001 2.9797635251138621E-005 2.7997020236474884E-001 4.1193902129486445E-003 1.2067031330276047E-003 1.1203876416666529E-002 2.5129237964844936E-003 9.5710644087274640E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -8.5584360526938994E+000 8.5000496627254141E-001 2.6338225488992734E+001 0.0000000000000000E+000 2.0470791062612911E+006 1.8381546871305954E+003 2.2816077580374137E+007 -2.0995965873489578E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.0995965873489578E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.2393833949215193E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -6.6825014505770109E-010
3 3.6400000000000004E-005 1.2999999999999756E+000 2.7523079060593343E+000 1.5783495773186682E+000 3.6605316060818129E+000 5.4770200127299242E+000 -3.5142456792659478E+000 1.0087315598317870E+001 6.9999999999999996E-001 2.9797635251138618E-005 2.7997020236474884E-001 4.1193902129486445E-003 1.2067031330276047E-003 1.1203876416666529E-002 2.5129237964844936E-003 9.5710644087274629E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -8.5584356325321327E+000 8.5000496627254141E-001 2.6338224795006575E+001 0.0000000000000000E+000 2.0468511502151317E+006 1.8527156081018090E+003 2.2995107608341053E+007 -2.0995966196868508E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.0995966196868508E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.2393834272594123E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -6.6405006972424383E-010
4 5.3680000000000001E-005 1.2999999999999641E+000 2.7484138996795817E+000 1.5783112538151918E+000 3.6595772662386130E+000 5.4770199685303780E+000 -3.5142455468886289E+000 1.0087315685254186E+001 6.9999999999999996E-001 2.9797635251138618E-005 2.7997020236474884E-001 4.1193902129486445E-003 1.2067031330276047E-003 1.1203876416666529E-002 2.5129237964844936E-003 9.5710644087274651E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -8.5584351752438241E+000 8.5000496627254163E-001 2.6338224043985385E+001 0.0000000000000000E+000 2.0465802373236823E+006 1.8695672429921315E+003 2.3202215311164416E+007 -2.0995966320480864E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.0995966320480864E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.2393834396206472E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -6.5883114646159394E-010
5 7.4416000000000000E-005 1.2999999999999505E+000 2.7439097122172766E+000 1.5782668035477367E+000 3.6584734445067637E+000 5.4770199129952566E+000 -3.5142454177662974E+000 1.0087315757451691E+001 6.9999999999999996E-001 2.9797635251138618E-005 2.7997020236474884E-001 4.1193902129486445E-003 1.2067031330276047E-003 1.1203876416666529E-002 2.5129237964844936E-003 9.5710644087274640E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -8.5584346865017444E+000 8.5000496627254141E-001 2.6338223238682541E+001 0.0000000000000000E+000 2.0462660586044211E+006 1.8892512917486713E+003 2.3444104043680001E+007 -2.0995966636793188E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.0995966636793188E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.2393834712518796E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -6.5289266953535860E-010
6 9.9299199999999986E-005 1.2999999999999343E+000 2.7385881252010380E+000 1.5782151741152359E+000 3.6571688624689545E+000 5.4770198508796932E+000 -3.5142452873727077E+000 1.0087315824239498E+001 6.9999999999999996E-001 2.9797635251138618E-005 2.7997020236474884E-001 4.1193902129486445E-003 1.2067031330276047E-003 1.1203876416666529E-002 2.5129237964844936E-003 9.5710644087274640E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -8.5584341722089334E+000 8.5000496627254141E-001 2.6338222390116254E+001 0.0000000000000000E+000 2.0459011974076463E+006 1.9127708483639476E+003 2.3733141420570295E+007 -2.0995967073900790E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.0995967073900790E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.2393835149626394E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -6.4609020170269913E-010
7 1.2915903999999998E-004 1.2999999999999152E+000 2.7321796555051785E+000 1.5781553259770000E+000 3.6555966691141082E+000 5.4770197881774800E+000 -3.5142451501378744E+000 1.0087315897242165E+001 6.9999999999999996E-001 2.9797635251138618E-005 2.7997020236474884E-001 4.1193902129486445E-003 1.2067031330276047E-003 1.1203876416666529E-002 2.5129237964844936E-003 9.5710644087274640E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -8.5584336401182437E+000 8.5000496627254163E-001 2.6338221512678686E+001 0.0000000000000000E+000 2.0454783366692758E+006 1.9414725838505412E+003 2.4085945359947056E+007 -2.0995967539358539E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.0995967539358539E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.2393835615084143E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -6.3814583393353606E-010
8 1.6499084799999998E-004 1.2999999999998928E+000 2.7253666653412747E+000 1.5780868689682206E+000 3.6539276500775215E+000 5.4770197265304947E+000 -3.5142450078099494E+000 1.0087315976385044E+001 6.9999999999999996E-001 2.9797635251138618E-005 2.7997020236474884E-001 4.1193902129486445E-003 1.2067031330276047E-003 1.1203876416666529E-002 2.5129237964844936E-003 9.5710644087274640E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -8.5584330999056952E+000 8.5000496627254163E-001 2.6338220622484258E+001 0.0000000000000000E+000 2.0449947565822443E+006 1.9724804583668781E+003 2.4466772679336451E+007 -2.0995968023144581E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.0995968023144581E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.2393836098870185E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -6.2871181303630260E-010
9 2.0798901759999997E-004 1.2999999999998664E+000 2.7175557614179953E+000 1.5780076833047298E+000 3.6520145169284475E+000 5.4770196676284284E+000 -3.5142448625170783E+000 1.0087316061263731E+001 6.9999999999999996E-001 2.9797635251138618E-005 2.7997020236474884E-001 4.1193902129486445E-003 1.2067031330276047E-003 1.1203876416666529E-002 2.5129237964844936E-003 9.5710644087274640E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -8.5584325622882407E+000 8.5000496627254141E-001 2.6338219737340520E+001 0.0000000000000000E+000 2.0444355319164526E+006 2.0086432001041098E+003 2.4910795178460315E+007 -2.0995968513490340E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.0995968513490340E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.2393836589215940E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -6.1882830979403011E-010
